Region,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCases,CasesPerM,DeathsPerM,TotalTests,TestsPerM,Population
Czechia,2444655,+2046,35729 ,+53,2259511,+255,149415,736,227655,3327,46599494,4339518,10738404
Peru,2278807,+5922,202488 ,+34,N/A,N/A,N/A,875,67718,6017,21507541,639126,33651475
Thailand,2207438,+2766,21558 ,+30,2148757,+3805,37123,899,31508,308,17270775,246516,70059358
Iraq,2092312,+156,24122 ,+7,2062648,+401,5542,84,50348,580,16756695,403223,41556890
Belgium,2038111,+7233,28149 ,+39,1595493,None,414469,660,174730,2413,26828439,2300045,11664312
Canada,1959518,+2458,30143 ,+4,1817744,+792,111631,455,51253,788,51486352,1346681,38232022
Romania,1802396,+598,58536 ,+27,1732003,+1009,11857,466,94626,3073,16892303,886848,19047572
Chile,1799125,+1494,39013 ,+29,1712785,+2640,47327,555,92934,2015,27075787,1398607,19359116
Japan,1731199,+294,18386 ,None,1710944,+122,1869,37,13750,146,29092674,231072,125902937
Vietnam,1636455,+15586,31007 ,+241,1229684,+14423,375764,7762,16591,314,73824334,748459,98635054
Bangladesh,1582985,+275,28056 ,+1,1547180,+224,7749,1352,9472,168,11375953,68071,167118031
Israel,1363831,+1561,8242 ,+1,1343680,+739,11909,93,146240,884,37547800,4026142,9326000 
Pakistan,1293081,+353,28905 ,+7,1254413,+112,9763,624,5690,127,23096757,101642,227235429
Serbia,1289493,+1098,12568 ,+24,1254568,+1858,22357,102,148470,1447,7149667,823198,8685237
Portugal,1276053,+10016,18861 ,+10,1157598,+2359,99594,152,125686,1858,25114814,2473715,10152669
Sweden,1273313,None,15229 ,None,1181462,+2107,76622,92,124926,1494,14208757,1394040,10192504
Austria,1262836,+2085,13626 ,+9,1218605,+3638,30605,390,139041,1500,119923778,13203848,9082487
Hungary,1237330,None,38307 ,None,1071772,None,127251,454,128567,3980,9058668,941257,9624016
Switzerland,1221424,None,12128 ,None,959064,+7973,250232,302,139618,1386,13812799,1578908,8748325
Greece,1070833,+6590,20350 ,+58,986631,+3952,63852,617,103486,1967,45162221,4364497,10347634
Jordan,1051421,+1164,12444 ,+41,993692,+2667,45285,1077,101556,1202,13308004,1285417,10353065
